"","city","lat","lng","pop","country","Country.Code","IncomeGroup","Region"
"1","Qal eh-ye Now",34.983,63.1333,2.997,"Afghanistan","AFG","Low income","South Asia"
"2","Chaghcharan",34.5167,65.25,15,"Afghanistan","AFG","Low income","South Asia"
"3","Lashkar Gah",31.583,64.36,201.546,"Afghanistan","AFG","Low income","South Asia"
"4","Zaranj",31.112,61.887,49.851,"Afghanistan","AFG","Low income","South Asia"
"5","Tarin Kowt",32.6333,65.8667,10,"Afghanistan","AFG","Low income","South Asia"
"6","Zareh Sharan",32.85,68.4167,13.737,"Afghanistan","AFG","Low income","South Asia"
"7","Asadabad",34.866,71.15,48.4,"Afghanistan","AFG","Low income","South Asia"
"8","Taloqan",36.73,69.54,64.256,"Afghanistan","AFG","Low income","South Asia"
"9","Mahmud-E Eraqi",35.0167,69.3333,7.407,"Afghanistan","AFG","Low income","South Asia"
"10","Mehtar Lam",34.65,70.1667,17.345,"Afghanistan","AFG","Low income","South Asia"
"11","Baraki Barak",33.9667,68.9667,22.305,"Afghanistan","AFG","Low income","South Asia"
"12","Aybak",36.261,68.04,24,"Afghanistan","AFG","Low income","South Asia"
"13","Mayda Shahr",34.45,68.8,35.008,"Afghanistan","AFG","Low income","South Asia"
"14","Karokh",34.4868,62.5918,14.3885,"Afghanistan","AFG","Low income","South Asia"
"15","Sheberghan",36.658,65.7383,74.441,"Afghanistan","AFG","Low income","South Asia"
"16","Pol-e Khomri",35.9511,68.7011,41.029,"Afghanistan","AFG","Low income","South Asia"
"17","Balkh",36.7501,66.8997,147.426,"Afghanistan","AFG","Low income","South Asia"
"18","Meymaneh",35.9302,64.7701,199.795,"Afghanistan","AFG","Low income","South Asia"
"19","Andkhvoy",36.9317,65.1015,50.469,"Afghanistan","AFG","Low income","South Asia"
"20","Qalat",32.1123,66.8868,12.191,"Afghanistan","AFG","Low income","South Asia"
"21","Ghazni",33.5633,68.4178,129.8925,"Afghanistan","AFG","Low income","South Asia"
"22","Feyzabad",37.1298,70.5792,52.49,"Afghanistan","AFG","Low income","South Asia"
"23","Kondoz",36.728,68.8725,210.8555,"Afghanistan","AFG","Low income","South Asia"
"24","Jalalabad",34.4415,70.4361,401.697,"Afghanistan","AFG","Low income","South Asia"
"25","Charikar",35.0183,69.1679,53.676,"Afghanistan","AFG","Low income","South Asia"
"26","Gardiz",33.6001,69.2146,82.6805,"Afghanistan","AFG","Low income","South Asia"
"27","Bamian",34.8211,67.521,61.863,"Afghanistan","AFG","Low income","South Asia"
"28","Baghlan",36.1393,68.6993,163.5985,"Afghanistan","AFG","Low income","South Asia"
"29","Farah",32.3917,62.0968,58.604,"Afghanistan","AFG","Low income","South Asia"
"30","Herat",34.33,62.17,439.2325,"Afghanistan","AFG","Low income","South Asia"
"31","Mazar-e Sharif",36.7,67.1,365.4325,"Afghanistan","AFG","Low income","South Asia"
"32","Kandahar",31.61,65.6949,613.871,"Afghanistan","AFG","Low income","South Asia"
"33","Kabul",34.5167,69.1833,3160.266,"Afghanistan","AFG","Low income","South Asia"
"34","Mariehamn",60.097,19.949,10.682,"Aland","ALD",NA,NA
"35","Kruje",41.519,19.797,21.286,"Albania","ALB","Upper middle income","Europe & Central Asia"
"36","Fier",40.73,19.573,69.7475,"Albania","ALB","Upper middle income","Europe & Central Asia"
"37","Lushnje",40.94,19.716,41.469,"Albania","ALB","Upper middle income","Europe & Central Asia"
"38","Puke",42.0333,19.8833,6.495,"Albania","ALB","Upper middle income","Europe & Central Asia"
"39","Bajram Curri",42.3333,20.0833,7.967,"Albania","ALB","Upper middle income","Europe & Central Asia"
"40","Kukes",42.083,20.434,17.832,"Albania","ALB","Upper middle income","Europe & Central Asia"
"41","Sarande",39.877,20,15.147,"Albania","ALB","Upper middle income","Europe & Central Asia"
"42","Erseke",40.3333,20.6833,7.89,"Albania","ALB","Upper middle income","Europe & Central Asia"
"43","Pogradec",40.9,20.664,35,"Albania","ALB","Upper middle income","Europe & Central Asia"
"44","Korce",40.6167,20.7667,58.259,"Albania","ALB","Upper middle income","Europe & Central Asia"
"45","Berat",40.71,19.972,46.866,"Albania","ALB","Upper middle income","Europe & Central Asia"
"46","Corovode",40.5167,20.2333,14.046,"Albania","ALB","Upper middle income","Europe & Central Asia"
"47","Gramsh",40.8667,20.2,11.556,"Albania","ALB","Upper middle income","Europe & Central Asia"
"48","Librazhd",41.2,20.3667,12.691,"Albania","ALB","Upper middle income","Europe & Central Asia"
"49","Tepelene",40.2833,20.0333,11.955,"Albania","ALB","Upper middle income","Europe & Central Asia"
"50","Permet",40.234,20.352,10.686,"Albania","ALB","Upper middle income","Europe & Central Asia"
"51","Gjirokaster",40.079,20.149,23.437,"Albania","ALB","Upper middle income","Europe & Central Asia"
"52","Peshkopi",41.6833,20.4333,14.848,"Albania","ALB","Upper middle income","Europe & Central Asia"
"53","Burrel",41.626,20.016,15.405,"Albania","ALB","Upper middle income","Europe & Central Asia"
"54","Lezhe",41.788,19.654,18.695,"Albania","ALB","Upper middle income","Europe & Central Asia"
